Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Total de beneficiários,Idese,Regressão linear,0,-0.063611,0.061626,0.016916,0.003517,0.009895
Total de beneficiários,Idese,MLP,0,-0.118152,0.150758,0.017682,0.003680,16.808965
Total de beneficiários,Idese,XGBoost,0,-1.045225,0.373234,0.032337,0.007261,0.760793
Total de beneficiários,Blocos individuais,Regressão linear,0,0.188378,0.036809,0.011835,0.001091,0.010508
Total de beneficiários,Blocos individuais,MLP,0,0.203389,0.025920,0.011636,0.001200,31.775671
Total de beneficiários,Blocos individuais,XGBoost,0,0.076116,0.104030,0.013434,0.001490,1.476081
Total de beneficiários,Bloco educação individual,Regressão linear,0,0.000662,0.059678,0.019785,0.003590,0.010195
Total de beneficiários,Bloco educação individual,MLP,0,-0.054836,0.093397,0.020711,0.002999,16.920959
Total de beneficiários,Bloco educação individual,XGBoost,0,-0.664583,0.099339,0.032811,0.005112,0.963855
Total de beneficiários,Bloco educação resumido,Regressão linear,0,0.430510,0.058938,0.009881,0.002889,0.010741
Total de beneficiários,Bloco educação resumido,MLP,0,-0.014195,0.019680,0.017770,0.005389,23.509243
Total de beneficiários,Bloco educação resumido,XGBoost,0,0.610955,0.028193,0.006809,0.002021,1.147171
Total de beneficiários,Bloco educação completo,Regressão linear,0,0.424950,0.057271,0.009490,0.001603,0.011188
Total de beneficiários,Bloco educação completo,MLP,0,0.549955,0.062839,0.007399,0.001344,24.866420
Total de beneficiários,Bloco educação completo,XGBoost,0,0.701133,0.054435,0.005095,0.001702,1.354370
Total de beneficiários,Bloco renda individual,Regressão linear,0,-0.036231,0.026925,0.018105,0.005860,0.009923
Total de beneficiários,Bloco renda individual,MLP,0,-0.031213,0.026321,0.018004,0.005782,17.138605
Total de beneficiários,Bloco renda individual,XGBoost,0,-1.138054,0.507634,0.036072,0.011165,0.804319
Total de beneficiários,Bloco renda completo,Regressão linear,0,0.080116,0.020951,0.009829,0.001323,0.009682
Total de beneficiários,Bloco renda completo,MLP,0,-0.002321,0.000822,0.010737,0.001606,44.473161
Total de beneficiários,Bloco renda completo,XGBoost,0,0.160934,0.074129,0.008875,0.000699,1.605511
Total de beneficiários,Bloco saúde individual,Regressão linear,0,-0.011105,0.008445,0.017680,0.002108,0.010315
Total de beneficiários,Bloco saúde individual,MLP,0,-0.016062,0.027848,0.017728,0.001838,16.802319
Total de beneficiários,Bloco saúde individual,XGBoost,0,-0.965993,0.314580,0.034304,0.006685,0.835932
Total de beneficiários,Bloco saúde resumido,Regressão linear,0,0.056358,0.052221,0.022863,0.002908,0.010718
Total de beneficiários,Bloco saúde resumido,MLP,0,0.208217,0.056363,0.019273,0.003386,23.466718
Total de beneficiários,Bloco saúde resumido,XGBoost,0,0.133741,0.128200,0.020740,0.002038,1.282452
Total de beneficiários,Bloco saúde completo,Regressão linear,0,0.092242,0.033036,0.008214,0.002394,0.012017
Total de beneficiários,Bloco saúde completo,MLP,0,0.086113,0.042908,0.008273,0.002436,32.103937
Total de beneficiários,Bloco saúde completo,XGBoost,0,0.123940,0.028358,0.007833,0.001793,1.849333
Total de beneficiários,Todos atributos independentes,Regressão linear,0,0.424190,0.039874,0.005221,0.000411,0.015852
Total de beneficiários,Todos atributos independentes,MLP,0,0.635530,0.065655,0.003289,0.000511,34.654890
Total de beneficiários,Todos atributos independentes,XGBoost,0,0.808340,0.045333,0.001710,0.000241,2.626785
Valor total repassado,Idese,Regressão linear,0,-0.038156,0.039634,0.027895,0.006364,0.010953
Valor total repassado,Idese,MLP,0,-0.123836,0.147599,0.030185,0.007581,17.492800
Valor total repassado,Idese,XGBoost,0,-0.855520,0.395915,0.048195,0.008731,0.806526
Valor total repassado,Blocos individuais,Regressão linear,0,0.177596,0.043332,0.011837,0.002042,0.011761
Valor total repassado,Blocos individuais,MLP,0,-0.002360,0.001597,0.014393,0.002023,32.429432
Valor total repassado,Blocos individuais,XGBoost,0,0.105174,0.104908,0.012777,0.001891,1.564310
Valor total repassado,Bloco educação individual,Regressão linear,0,-0.012284,0.016147,0.028157,0.004303,0.008906
Valor total repassado,Bloco educação individual,MLP,0,-0.054265,0.064513,0.029218,0.004011,17.574940
Valor total repassado,Bloco educação individual,XGBoost,0,-1.431799,0.508803,0.066800,0.014038,0.978487
Valor total repassado,Bloco educação resumido,Regressão linear,0,0.317118,0.140912,0.008704,0.003002,0.009612
Valor total repassado,Bloco educação resumido,MLP,0,-0.036746,0.059078,0.014003,0.005508,23.410089
Valor total repassado,Bloco educação resumido,XGBoost,0,0.587841,0.078917,0.005554,0.002628,1.124594
Valor total repassado,Bloco educação completo,Regressão linear,0,0.365088,0.042820,0.008996,0.001775,0.011131
Valor total repassado,Bloco educação completo,MLP,0,0.520510,0.061096,0.006728,0.001175,25.210935
Valor total repassado,Bloco educação completo,XGBoost,0,0.731375,0.078866,0.003856,0.001392,1.288134
Valor total repassado,Bloco renda individual,Regressão linear,0,0.043756,0.043444,0.026861,0.003797,0.009952
Valor total repassado,Bloco renda individual,MLP,0,0.065007,0.033052,0.026253,0.003525,17.906406
Valor total repassado,Bloco renda individual,XGBoost,0,-0.585774,0.442696,0.042821,0.005787,0.926227
Valor total repassado,Bloco renda completo,Regressão linear,0,-0.043173,0.083049,0.028143,0.004323,0.009258
Valor total repassado,Bloco renda completo,MLP,0,-0.240460,0.359730,0.032320,0.004054,16.823848
Valor total repassado,Bloco renda completo,XGBoost,0,0.284325,0.091869,0.019612,0.005165,0.707704
Valor total repassado,Bloco saúde individual,Regressão linear,0,-0.024292,0.014248,0.028286,0.006985,0.010945
