Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Total de beneficiários,Idese,Regressão linear,0,-0.063611,0.061626,0.016916,0.003517,0.012582
Total de beneficiários,Idese,MLP,0,-0.091109,0.094144,0.017442,0.004313,16.989903
Total de beneficiários,Idese,XGBoost,0,-1.045225,0.373234,0.032337,0.007261,0.911569
Total de beneficiários,Idese,Regressão linear,1,0.023441,0.006272,0.000989,0.000123,0.009122
Total de beneficiários,Idese,MLP,1,-0.007135,0.007484,0.001020,0.000131,44.425229
Total de beneficiários,Idese,XGBoost,1,-0.042785,0.012533,0.001056,0.000132,0.716454
Total de beneficiários,Idese,Regressão linear,2,-0.000970,0.002318,0.001595,0.000106,0.010157
Total de beneficiários,Idese,MLP,2,0.001159,0.002849,0.001592,0.000110,39.528544
Total de beneficiários,Idese,XGBoost,2,-0.085025,0.018962,0.001729,0.000115,0.796929
Total de beneficiários,Blocos individuais,Regressão linear,0,0.171064,0.025411,0.008586,0.001207,0.014252
Total de beneficiários,Blocos individuais,MLP,0,0.232854,0.044531,0.007938,0.001153,40.664361
Total de beneficiários,Blocos individuais,XGBoost,0,0.129927,0.027849,0.009040,0.001400,1.695064
Total de beneficiários,Blocos individuais,Regressão linear,1,0.110593,0.010141,0.002092,0.000181,0.012348
Total de beneficiários,Blocos individuais,MLP,1,0.119554,0.023394,0.002069,0.000168,42.944970
Total de beneficiários,Blocos individuais,XGBoost,1,-0.174232,0.077514,0.002761,0.000277,2.604034
Total de beneficiários,Bloco educação individual,Regressão linear,0,0.000662,0.059678,0.019785,0.003590,0.010379
Total de beneficiários,Bloco educação individual,MLP,0,-0.005393,0.051133,0.019811,0.003040,17.104296
Total de beneficiários,Bloco educação individual,XGBoost,0,-0.664583,0.099339,0.032811,0.005112,0.926709
Total de beneficiários,Bloco educação individual,Regressão linear,1,0.014144,0.005525,0.001169,0.000126,0.009396
Total de beneficiários,Bloco educação individual,MLP,1,-0.005079,0.004366,0.001191,0.000124,71.319937
Total de beneficiários,Bloco educação individual,XGBoost,1,-0.020566,0.016173,0.001208,0.000113,0.758597
Total de beneficiários,Bloco educação resumido,Regressão linear,0,0.395637,0.040885,0.006697,0.001784,0.010786
Total de beneficiários,Bloco educação resumido,MLP,0,0.570605,0.046919,0.004811,0.001519,33.610987
