id,ano,total_pago,media_pago,total_beneficiarios,media_beneficiarios
4300034,2023,1981877.0,198187.7,2855,285.5
4300034,2024,2568198.0,233472.54545454544,3727,338.8181818181818
4300059,2023,1466005.0,146600.5,2283,228.3
4300059,2024,1954885.0,177716.81818181818,2956,268.72727272727275
4300109,2023,5884226.0,588422.6,9294,929.4
4300109,2024,6887500.0,626136.3636363636,10880,989.0909090909091
4300208,2023,1970169.0,197016.9,3194,319.4
4300208,2024,2168015.0,197092.27272727274,3570,324.54545454545456
4300307,2023,3092605.0,309260.5,4723,472.3
4300307,2024,3478518.0,316228.9090909091,5341,485.54545454545456
4300406,2023,23817938.0,2381793.8,36743,3674.3
4300406,2024,28950876.0,2631897.8181818184,44420,4038.181818181818
4300455,2023,1845088.0,184508.8,2899,289.9
4300455,2024,2233614.0,203055.81818181818,3401,309.1818181818182
4300471,2023,314236.0,31423.6,471,47.1
4300471,2024,377779.0,34343.545454545456,567,51.54545454545455
4300505,2023,1767716.0,176771.6,2877,287.7
4300505,2024,1985863.0,180533.0,3356,305.09090909090907
4300554,2023,445518.0,44551.8,714,71.4
4300554,2024,477980.0,43452.72727272727,775,70.45454545454545
4300570,2023,110629.0,11062.9,157,15.7
4300570,2024,126815.0,11528.636363636364,190,17.272727272727273
4300604,2023,91330547.0,9133054.7,136459,13645.9
4300604,2024,109716613.0,9974237.545454545,165094,15008.545454545454
4300638,2023,3099095.0,309909.5,4687,468.7
4300638,2024,3603337.0,327576.0909090909,5445,495.0
4300646,2023,3810160.0,381016.0,5638,563.8
4300646,2024,4739868.0,430897.0909090909,7156,650.5454545454545
4300661,2023,372958.0,37295.8,569,56.9
4300661,2024,249505.0,22682.272727272728,427,38.81818181818182
4300703,2023,344251.0,34425.1,533,53.3
4300703,2024,579819.0,52710.818181818184,860,78.18181818181819
4300802,2023,1890901.0,189090.1,2922,292.2
4300802,2024,1979143.0,179922.0909090909,3203,291.1818181818182
4300851,2023,2289259.0,228925.9,3654,365.4
4300851,2024,2818892.0,256262.9090909091,4426,402.3636363636364
4300877,2023,2610384.0,261038.4,3956,395.6
4300877,2024,3021962.0,274723.8181818182,4590,417.27272727272725
4300901,2023,607219.0,60721.9,842,84.2
4300901,2024,772615.0,70237.72727272728,1048,95.27272727272727
4301008,2023,2044728.0,204472.8,3137,313.7
4301008,2024,3271301.0,297391.0,4995,454.09090909090907
4301057,2023,4470675.0,447067.5,6657,665.7
4301057,2024,5886329.0,535120.8181818182,8730,793.6363636363636
4301073,2023,279411.0,27941.1,424,42.4
4301073,2024,295203.0,26836.636363636364,449,40.81818181818182
4301107,2023,7321657.0,732165.7,11230,1123.0
4301107,2024,9968179.0,906198.0909090909,14656,1332.3636363636363
4301206,2023,3743800.0,374380.0,5993,599.3
4301206,2024,4068526.0,369866.0,6691,608.2727272727273
4301305,2023,9290458.0,929045.8,14031,1403.1
4301305,2024,12406246.0,1127840.5454545454,18627,1693.3636363636363
4301404,2023,3167798.0,316779.8,4867,486.7
4301404,2024,3590341.0,326394.63636363635,5540,503.6363636363636
4301503,2023,1182117.0,118211.7,1836,183.6
4301503,2024,1369902.0,124536.54545454546,2196,199.63636363636363
4301552,2023,264321.0,26432.1,403,40.3
4301552,2024,685684.0,62334.90909090909,979,89.0
4301602,2023,82102452.0,8210245.2,126741,12674.1
4301602,2024,94108903.0,8555354.818181818,143132,13012.0
4301636,2023,11459026.0,1145902.6,17731,1773.1
4301636,2024,12240447.0,1112767.9090909092,18832,1712.0
4301651,2023,186251.0,18625.1,291,29.1
4301651,2024,223591.0,20326.454545454544,377,34.27272727272727
4301701,2023,991302.0,99130.2,1428,142.8
4301701,2024,1280100.0,116372.72727272728,1928,175.27272727272728
4301750,2023,3291427.0,329142.7,4917,491.7
4301750,2024,3712418.0,337492.54545454547,5462,496.54545454545456
4301800,2023,1946904.0,194690.4,3098,309.8
4301800,2024,2296649.0,208786.27272727274,3672,333.8181818181818
4301859,2023,839056.0,83905.6,1248,124.8
4301859,2024,1113171.0,101197.36363636363,1691,153.72727272727272
4301875,2023,2953482.0,295348.2,4575,457.5
4301875,2024,3658362.0,332578.36363636365,5541,503.72727272727275
4301909,2023,4926673.0,492667.3,7585,758.5
4301909,2024,5859958.0,532723.4545454546,8898,808.9090909090909
4301925,2023,125266.0,12526.6,198,19.8
4301925,2024,124200.0,11290.90909090909,207,18.818181818181817
4301958,2023,158591.0,15859.1,262,26.2
4301958,2024,154696.0,14063.272727272728,274,24.90909090909091
4302006,2023,2926232.0,292623.2,4516,451.6
4302006,2024,2272283.0,206571.18181818182,3665,333.1818181818182
4302055,2023,3149883.0,314988.3,4968,496.8
4302055,2024,3983942.0,362176.54545454547,6312,573.8181818181819
4302105,2023,11733007.0,1173300.7,17858,1785.8
4302105,2024,13614137.0,1237648.8181818181,21446,1949.6363636363637
4302154,2023,855105.0,85510.5,1303,130.3
4302154,2024,897388.0,81580.72727272728,1347,122.45454545454545
4302204,2023,865511.0,86551.1,1306,130.6
4302204,2024,1137585.0,103416.81818181818,1752,159.27272727272728
4302220,2023,539603.0,53960.3,817,81.7
4302220,2024,630277.0,57297.90909090909,959,87.18181818181819
4302238,2023,1118583.0,111858.3,1713,171.3
4302238,2024,1304609.0,118600.81818181818,2005,182.27272727272728
4302253,2023,111185.0,11118.5,159,15.9
4302253,2024,191980.0,17452.727272727272,291,26.454545454545453
4302303,2023,9401563.0,940156.3,13997,1399.7
4302303,2024,11670762.0,1060978.3636363635,17551,1595.5454545454545
4302352,2023,722521.0,72252.1,1122,112.2
4302352,2024,978146.0,88922.36363636363,1537,139.72727272727272
4302378,2023,1783370.0,178337.0,2741,274.1
4302378,2024,1873878.0,170352.54545454544,2964,269.45454545454544
4302402,2023,2563345.0,256334.5,3856,385.6
4302402,2024,2962795.0,269345.0,4544,413.09090909090907
4302451,2023,3009386.0,300938.6,4456,445.6
4302451,2024,3582098.0,325645.2727272727,5352,486.54545454545456
4302501,2023,2750635.0,275063.5,4102,410.2
4302501,2024,3500278.0,318207.0909090909,5272,479.27272727272725
4302584,2023,354974.0,35497.4,517,51.7
4302584,2024,428157.0,38923.36363636364,628,57.09090909090909
4302600,2023,2092340.0,209234.0,3326,332.6
4302600,2024,2410558.0,219141.63636363635,3739,339.90909090909093
4302659,2023,747894.0,74789.4,1089,108.9
4302659,2024,862027.0,78366.09090909091,1299,118.0909090909091
4302709,2023,13562485.0,1356248.5,21525,2152.5
4302709,2024,14529811.0,1320891.9090909092,22867,2078.818181818182
4302808,2023,16796449.0,1679644.9,26151,2615.1
4302808,2024,18621261.0,1692841.9090909092,29021,2638.2727272727275
4302907,2023,9570192.0,957019.2,15253,1525.3
4302907,2024,10992303.0,999300.2727272727,17345,1576.8181818181818
4303004,2023,40166060.0,4016606.0,62085,6208.5
4303004,2024,45806418.0,4164219.8181818184,70691,6426.454545454545
4303103,2023,44747173.0,4474717.3,67762,6776.2
4303103,2024,57826070.0,5256915.454545454,88308,8028.0
4303202,2023,2379618.0,237961.8,3630,363.0
4303202,2024,2738132.0,248921.0909090909,4194,381.27272727272725
4303301,2023,1299190.0,129919.0,2090,209.0
4303301,2024,1416429.0,128766.27272727272,2338,212.54545454545453
4303400,2023,2185718.0,218571.8,3263,326.3
4303400,2024,2764696.0,251336.0,4122,374.72727272727275
4303509,2023,32727440.0,3272744.0,50769,5076.9
