id_municipio,nome_municipio,id_microregiao,nome_microregiao,ano_mes_referencia,valor_pago,total_beneficiarios
4300034,Aceguá,43031,,2023-03-01,182124.0,270
4300034,Aceguá,43031,,2023-04-01,180773.0,267
4300034,Aceguá,43031,,2023-05-01,190756.0,284
4300034,Aceguá,43031,,2023-06-01,203582.0,281
4300034,Aceguá,43031,,2023-07-01,200229.0,288
4300034,Aceguá,43031,,2023-08-01,199059.0,284
4300034,Aceguá,43031,,2023-09-01,204221.0,290
4300034,Aceguá,43031,,2023-10-01,205347.0,290
4300034,Aceguá,43031,,2023-11-01,206138.0,298
4300034,Aceguá,43031,,2023-12-01,209648.0,303
4300034,Aceguá,43031,,2024-01-01,202227.0,292
4300034,Aceguá,43031,,2024-02-01,212725.0,308
4300034,Aceguá,43031,,2024-03-01,214370.0,315
4300034,Aceguá,43031,,2024-04-01,222770.0,329
4300034,Aceguá,43031,,2024-05-01,234354.0,336
4300034,Aceguá,43031,,2024-06-01,235014.0,340
4300034,Aceguá,43031,,2024-07-01,237739.0,345
4300034,Aceguá,43031,,2024-08-01,252616.0,366
4300034,Aceguá,43031,,2024-09-01,252226.0,366
4300034,Aceguá,43031,,2024-10-01,252201.0,367
4300034,Aceguá,43031,,2024-11-01,251956.0,363
4300059,Água Santa,43010,,2023-03-01,136695.0,216
4300059,Água Santa,43010,,2023-04-01,132506.0,209
4300059,Água Santa,43010,,2023-05-01,140727.0,221
4300059,Água Santa,43010,,2023-06-01,149330.0,220
4300059,Água Santa,43010,,2023-07-01,133709.0,213
4300059,Água Santa,43010,,2023-08-01,143179.0,224
4300059,Água Santa,43010,,2023-09-01,153053.0,238
4300059,Água Santa,43010,,2023-10-01,160818.0,250
4300059,Água Santa,43010,,2023-11-01,157599.0,245
4300059,Água Santa,43010,,2023-12-01,158389.0,247
4300059,Água Santa,43010,,2024-01-01,160993.0,249
4300059,Água Santa,43010,,2024-02-01,165073.0,252
4300059,Água Santa,43010,,2024-03-01,160101.0,246
4300059,Água Santa,43010,,2024-04-01,162076.0,249
