id;Ano;totalBeneficiarios;valorTotalRepassado;valorMedioRepassado
430003;2007;199.0;138635;696,66
430003;2008;171.0;163000,00;953,22
430003;2009;290.0;212462,00;732,63
430003;2010;314.0;305263,00;972,18
430003;2011;386.0;413725,00;1071,83
430003;2012;377.0;531806;1410,63
430003;2013;345.0;574180;1664,29
430003;2014;309.0;565613;1830,46
430003;2015;278.0;457636;1646,17
430003;2016;227.0;412060,00;1815,24
430003;2017;192.0;388770;2024,84
430003;2018;176.0;373146;2120,15
430003;2019;160.0;381882,00;2386,76
430003;2020;178.0;121265,00;681,26
430003;2021;201.0;242733;1207,63
430005;2007;140.0;94315;673,68
430005;2008;114.0;98016,00;859,79
430005;2009;130.0;122035,00;938,73
430005;2010;129.0;136053,00;1054,67
430005;2011;115.0;150206,00;1306,14
430005;2012;135.0;182354;1350,77
430005;2013;146.0;210540;1442,05
430005;2014;148.0;255684;1727,59
430005;2015;129.0;248918;1929,60
430005;2016;125.0;229437,00;1835,50
430005;2017;109.0;213360;1957,43
430005;2018;86.0;164982;1918,40
430005;2019;83.0;156071,00;1880,37
430005;2020;79.0;48442,00;613,19
430005;2021;87.0;72884;837,75
430010;2007;707.0;498593;705,22
430010;2008;664.0;614072,00;924,81
430010;2009;851.0;812200,00;954,41
430010;2010;806.0;924160,00;1146,60
430010;2011;780.0;1010817,00;1295,92
430010;2012;808.0;1151320;1424,90
430010;2013;860.0;1240072;1441,94
430010;2014;886.0;1448656;1635,05
430010;2015;937.0;1532090;1635,10
430010;2016;839.0;1591568,00;1896,98
430010;2017;820.0;1546645;1886,15
430010;2018;862.0;1621486;1881,07
430010;2019;814.0;1678774,00;2062,38
430010;2020;943.0;510434,00;541,29
430010;2021;907.0;779304;859,21
430020;2007;365.0;275506;754,81
430020;2008;296.0;260424,00;879,81
430020;2009;353.0;293725,00;832,08
430020;2010;347.0;308159,00;888,07
430020;2011;298.0;351131,00;1178,29
430020;2012;332.0;454464;1368,87
430020;2013;318.0;582844;1832,84
430020;2014;304.0;596335;1961,63
430020;2015;294.0;579729;1971,87
430020;2016;288.0;596652,00;2071,71
430020;2017;318.0;617055;1940,42
430020;2018;287.0;563834;1964,58
430020;2019;256.0;526191,00;2055,43
430020;2020;278.0;167822,00;603,68
430020;2021;270.0;269492;998,12
430030;2007;633.0;390258;616,52
430030;2008;520.0;418620,00;805,04
430030;2009;625.0;553708,00;885,93
430030;2010;644.0;670718,00;1041,49
430030;2011;621.0;741568,00;1194,15
430030;2012;578.0;816696;1412,97
430030;2013;564.0;852266;1511,11
430030;2014;542.0;901043;1662,44
430030;2015;484.0;748576;1546,64
430030;2016;399.0;689605,00;1728,33
430030;2017;313.0;406893;1299,98
430030;2018;277.0;417110;1505,81
430030;2019;233.0;351829,00;1510,00
430030;2020;257.0;125251,00;487,36
430030;2021;259.0;170110;656,80
430040;2007;4871.0;3869413;794,38
430040;2008;4353.0;4277653,00;982,69
430040;2009;5700.0;5272405,00;924,98
430040;2010;6108.0;6597246,00;1080,10
430040;2011;5945.0;7564332,00;1272,39
430040;2012;5988.0;8787218;1467,47
430040;2013;5496.0;9467616;1722,64
430040;2014;5436.0;8854371;1628,84
430040;2015;4552.0;7862712;1727,31
