"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"430003","ACEGUÁ","RS","2009","290","","212462,00","","732,63",""
"430003","ACEGUÁ","RS","2010","314","","305263,00","","972,18",""
"430003","ACEGUÁ","RS","2011","386","","413725,00","","1071,83",""
"430003","ACEGUÁ","RS","2007","199","","138635","","696,66",""
"430003","ACEGUÁ","RS","2012","377","","531806","","1410,63",""
"430003","ACEGUÁ","RS","2015","278","","457636","","1646,17",""
"430003","ACEGUÁ","RS","2021","201","","242733","","1207,63",""
"430003","ACEGUÁ","RS","2020","178","","121265,00","","681,26",""
"430003","ACEGUÁ","RS","2008","171","","163000,00","","953,22",""
"430003","ACEGUÁ","RS","2019","160","","381882,00","","2386,76",""
"430003","ACEGUÁ","RS","2018","176","","373146","","2120,15",""
"430003","ACEGUÁ","RS","2013","345","","574180","","1664,29",""
"430003","ACEGUÁ","RS","2017","192","","388770","","2024,84",""
"430003","ACEGUÁ","RS","2016","227","","412060,00","","1815,24",""
"430003","ACEGUÁ","RS","2014","309","","565613","","1830,46",""
"430005","ÁGUA SANTA","RS","2009","130","","122035,00","","938,73",""
"430005","ÁGUA SANTA","RS","2021","87","","72884","","837,75",""
"430005","ÁGUA SANTA","RS","2013","146","","210540","","1442,05",""
"430005","ÁGUA SANTA","RS","2014","148","","255684","","1727,59",""
"430005","ÁGUA SANTA","RS","2015","129","","248918","","1929,60",""
"430005","ÁGUA SANTA","RS","2016","125","","229437,00","","1835,50",""
"430005","ÁGUA SANTA","RS","2017","109","","213360","","1957,43",""
"430005","ÁGUA SANTA","RS","2018","86","","164982","","1918,40",""
"430005","ÁGUA SANTA","RS","2019","83","","156071,00","","1880,37",""
"430005","ÁGUA SANTA","RS","2020","79","","48442,00","","613,19",""
"430005","ÁGUA SANTA","RS","2011","115","","150206,00","","1306,14",""
"430005","ÁGUA SANTA","RS","2008","114","","98016,00","","859,79",""
"430005","ÁGUA SANTA","RS","2010","129","","136053,00","","1054,67",""
"430005","ÁGUA SANTA","RS","2012","135","","182354","","1350,77",""
"430005","ÁGUA SANTA","RS","2007","140","","94315","","673,68",""
"430010","AGUDO","RS","2009","851","","812200,00","","954,41",""
"430010","AGUDO","RS","2010","806","","924160,00","","1146,60",""
"430010","AGUDO","RS","2007","707","","498593","","705,22",""
"430010","AGUDO","RS","2017","820","","1546645","","1886,15",""
"430010","AGUDO","RS","2021","907","","779304","","859,21",""
"430010","AGUDO","RS","2011","780","","1010817,00","","1295,92",""
"430010","AGUDO","RS","2018","862","","1621486","","1881,07",""
"430010","AGUDO","RS","2020","943","","510434,00","","541,29",""
"430010","AGUDO","RS","2013","860","","1240072","","1441,94",""
"430010","AGUDO","RS","2014","886","","1448656","","1635,05",""
"430010","AGUDO","RS","2019","814","","1678774,00","","2062,38",""
"430010","AGUDO","RS","2015","937","","1532090","","1635,10",""
"430010","AGUDO","RS","2016","839","","1591568,00","","1896,98",""
"430010","AGUDO","RS","2012","808","","1151320","","1424,90",""
"430010","AGUDO","RS","2008","664","","614072,00","","924,81",""
"430020","AJURICABA","RS","2012","332","","454464","","1368,87",""
"430020","AJURICABA","RS","2020","278","","167822,00","","603,68",""
"430020","AJURICABA","RS","2021","270","","269492","","998,12",""
"430020","AJURICABA","RS","2010","347","","308159,00","","888,07",""
