Municípios;Código;Demografia\População\Estimativas Populacionais - RIPSA\Total\2007;Demografia\População\Estimativas Populacionais - RIPSA\Total\2008;Demografia\População\Estimativas Populacionais - RIPSA\Total\2009;Demografia\População\Estimativas Populacionais - RIPSA\Total\2010;Demografia\População\Estimativas Populacionais - RIPSA\Total\2011;Demografia\População\Estimativas Populacionais - RIPSA\Total\2012;Demografia\População\Estimativas Populacionais - RIPSA\Total\2013;Demografia\População\Estimativas Populacionais - RIPSA\Total\2014;Demografia\População\Estimativas Populacionais - RIPSA\Total\2015;Demografia\População\Estimativas Populacionais - RIPSA\Total\2016;Demografia\População\Estimativas Populacionais - RIPSA\Total\2017;Demografia\População\Estimativas Populacionais - RIPSA\Total\2018;Demografia\População\Estimativas Populacionais - RIPSA\Total\2019;Demografia\População\Estimativas Populacionais - RIPSA\Total\2020;Demografia\População\Estimativas Populacionais - RIPSA\Total\2021
Aceguá;4300034;4307;4357;4404;4424;4431;4420;4422;4410;4392;4370;4363;4336;4333;4317;4289
Água Santa;4300059;3770;3768;3763;3764;3768;3779;3802;3825;3848;3878;3907;3916;3937;3962;3968
Agudo;4300109;17306;17208;17117;17029;16965;16925;16897;16864;16827;16788;16747;16702;16660;16618;16568
Ajuricaba;4300208;7578;7527;7486;7442;7394;7356;7318;7288;7252;7220;7182;7140;7090;7066;7019
Alecrim;4300307;7703;7570;7438;7330;7220;7125;7051;6974;6902;6828;6761;6680;6612;6562;6480
Alegrete;4300406;81962;81235;80590;79956;79457;79088;78805;78522;78226;77917;77566;77184;76810;76427;75903
Alegria;4300455;4717;4616;4531;4448;4374;4307;4246;4190;4135;4080;4029;3980;3932;3902;3858
Almirante Tamandaré do Sul;4300471;2148;2130;2120;2104;2090;2087;2072;2073;2070;2064;2057;2051;2044;2039;2030
Alpestre;4300505;8907;8695;8500;8336;8211;8122;8050;7976;7911;7846;7774;7698;7632;7563;7493
Alto Alegre;4300554;1968;1939;1908;1886;1867;1870;1870;1867;1855;1856;1851;1854;1848;1856;1853
