id_empreendimento,data_inicio,data_fim,finalidade,atividade,modalidade,produto,variedade,cesta_safra,zoneamento,unidade_medida,unidade_medida_previsao_producao,consorcio,cedula_mae,id_tipo_cultura
22507460333408,2018-08-29,,custeio,pecuario(a),pesca,armacao para barco de pesca,manutencao/aquisicao,ano civil / ano de exploracao,,unidade,unidade,valor invalido,0,
12016565000053,2021-02-03,,custeio,agricola,lavoura,sapoti,nao se aplica,irrigadas,,hectare,tonelada,nao consorciado,0,1
12016560000043,2017-05-15,,custeio,agricola,lavoura,salsa,nao se aplica,fruticultura / olericultura,,hectare,tonelada,nao consorciado,0,4
12014580000013,2017-03-20,2020-04-03,custeio,agricola,lavoura,linho,nao se aplica,safra de verao (1ª safra),,hectare,tonelada,nao consorciado,0,2
12014320000043,2017-03-20,,custeio,agricola,lavoura,lichia (lechia),nao se aplica,fruticultura / olericultura,,hectare,tonelada,nao consorciado,0,2
12013540000053,2021-02-03,,custeio,agricola,lavoura,fava,nao se aplica,irrigadas,,hectare,tonelada,nao consorciado,0,1
12017280213053,2021-02-05,,custeio,agricola,lavoura,uva,mudas,irrigadas,,hectare,unidade,nao consorciado,0,2
12015660255043,2017-03-20,,custeio,agricola,lavoura,palmeira,real,fruticultura / olericultura,,hectare,tonelada,nao consorciado,0,2
12016360000043,2017-10-20,,custeio,agricola,lavoura,rabanete,nao se aplica,fruticultura / olericultura,,hectare,tonelada,nao consorciado,0,1
12014960000053,2017-03-20,,custeio,agricola,lavoura,maxixe,nao se aplica,irrigadas,,hectare,tonelada,nao consorciado,0,4
12014815000453,2021-02-03,,custeio,agricola,lavoura,mangostao,nao se aplica,irrigadas,,hectare,quilograma,valor invalido,0,2
12014040000043,2017-03-20,,custeio,agricola,lavoura,jabuticaba,nao se aplica,fruticultura / olericultura,,hectare,tonelada,nao consorciado,0,2
12012880000053,2017-03-16,,custeio,agricola,lavoura,crisantemo,nao se aplica,irrigadas,,hectare,mil duzias,nao consorciado,0,1
12012420000053,2017-01-01,,custeio,agricola,lavoura,chuchu,nao se aplica,irrigadas,,hectare,tonelada,nao consorciado,0,4
12016640063053,2021-02-03,,custeio,agricola,lavoura,seringueira,borracha natural,irrigadas,,hectare,tonelada,nao consorciado,0,2
12017321000443,2018-10-31,,custeio,agricola,lavoura,longan,nao se aplica,fruticultura / olericultura,,hectare,tonelada,valor invalido,0,2
12017240000043,2017-03-16,,custeio,agricola,lavoura,urucum,nao se aplica,fruticultura / olericultura,,hectare,tonelada,nao consorciado,0,2
12013800000043,2017-08-01,,custeio,agricola,lavoura,grama,nao se aplica,fruticultura / olericultura,,hectare,metro quadrado,nao consorciado,0,3
12013560000053,2017-01-01,,custeio,agricola,lavoura,feijao,nao se aplica,irrigadas,,hectare,tonelada,nao consorciado,0,3
