sigla_uf,id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
AC,1200054,Atendido,2011,BRASILTELECOM FILIAL/AC,Satélite,2,2,0
AC,1200328,Atendido,2011,BRASILTELECOM FILIAL/AC,Satélite,2,1,1
AC,1200435,Atendido,2011,BRASILTELECOM FILIAL/AC,Satélite,2,1,1
AM,1300102,Atendido,2018,TELEMAR/AM,Satélite,4,2,2
AM,1300607,Atendido,2011,TELEMAR/AM,Satélite,4,2,2
AM,1300706,Atendido,2013,TELEMAR/AM,Satélite,4,1,3
AM,1301407,Atendido,2013,TELEMAR/AM,Satélite,4,3,1
AM,1301506,Atendido,2012,TELEMAR/AM,Satélite,2,2,0
AM,1301605,Atendido,2013,TELEMAR/AM,Satélite,4,1,3
AM,1303007,Atendido,2011,TELEMAR/AM,Satélite,4,2,2
AM,1303205,Atendido,2013,TELEMAR/AM,Satélite,2,0.3,1.7
AM,1303502,Atendido,2013,TELEMAR/AM,Satélite,2,1,1
AM,1303908,Atendido,2013,TELEMAR/AM,Satélite,4,2,2
AM,1304005,Atendido,2013,TELEMAR/AM,Satélite,2,2,0
AM,1304260,Atendido,2011,TELEMAR/AM,Satélite,2,2,0
PA,1501576,Atendido,2013,TELEMAR/PA,Satélite,4,1,3
PA,1501758,Atendido,2012,TELEMAR/PA,Satélite,2,2,0
PA,1502939,Atendido,2008,TELEMAR/PA,Fibra,32,26,6
PA,1502954,Atendido,2014,TELEMAR/PA,Fibra,16,2,14
PA,1506401,Atendido,2011,TELEMAR/PA,Satélite,2,2,0
PA,1507458,Atendido,2013,TELEMAR/PA,Satélite,4,1,3
AP,1600055,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600154,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600212,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600238,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600535,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600709,Atendido,2013,TELEMAR/AP,Fibra,37,21,16
MA,2103406,Atendido,2010,TELEMAR/MA,Rádio,32,30,2
MA,2103505,Atendido,2009,TELEMAR/MA,Fibra,32,26,6
MA,2103703,Atendido,2009,TELEMAR/MA,Rádio,32,28,4
MA,2104073,Atendido,2011,TELEMAR/MA,Satélite,2,2,0
MA,2105401,Atendido,2008,TELEMAR/MA,Fibra,64,52,12
MA,2105708,Atendido,2009,TELEMAR/MA,Rádio,32,30,2
MA,2111573,Atendido,2011,TELEMAR/MA,Satélite,2,2,0
MA,2112704,Atendido,2008,TELEMAR/MA,Fibra,32,28,4
MA,2112803,Atendido,2009,TELEMAR/MA,Rádio,32,28,4
