"data";"valor"
"01/01/2003";"102,42"
"01/02/2003";"103,49"
"01/03/2003";"104,01"
"01/04/2003";"103,88"
"01/05/2003";"101,68"
"01/06/2003";"102,11"
"01/07/2003";"100,60"
"01/08/2003";"101,88"
"01/09/2003";"101,89"
"01/10/2003";"102,07"
"01/11/2003";"101,38"
"01/12/2003";"100,32"
"01/01/2004";"103,74"
"01/02/2004";"106,14"
"01/03/2004";"109,12"
"01/04/2004";"109,56"
"01/05/2004";"105,23"
"01/06/2004";"105,73"
"01/07/2004";"108,20"
"01/08/2004";"106,24"
"01/09/2004";"106,48"
"01/10/2004";"106,32"
"01/11/2004";"106,14"
"01/12/2004";"106,27"
"01/01/2005";"109,30"
"01/02/2005";"116,46"
"01/03/2005";"120,39"
"01/04/2005";"120,46"
"01/05/2005";"109,99"
"01/06/2005";"108,42"
"01/07/2005";"109,37"
"01/08/2005";"108,74"
"01/09/2005";"109,00"
"01/10/2005";"109,51"
"01/11/2005";"109,96"
"01/12/2005";"110,39"
"01/01/2006";"114,84"
"01/02/2006";"111,73"
"01/03/2006";"111,20"
"01/04/2006";"112,97"
"01/05/2006";"115,50"
"01/06/2006";"115,90"
"01/07/2006";"117,37"
"01/08/2006";"117,31"
"01/09/2006";"117,56"
"01/10/2006";"118,82"
"01/11/2006";"119,71"
"01/12/2006";"119,97"
"01/01/2007";"123,80"
"01/02/2007";"115,98"
"01/03/2007";"114,80"
"01/04/2007";"116,42"
"01/05/2007";"123,31"
"01/06/2007";"122,39"
"01/07/2007";"121,98"
"01/08/2007";"125,02"
"01/09/2007";"126,42"
"01/10/2007";"128,01"
"01/11/2007";"130,15"
"01/12/2007";"128,69"
"01/01/2008";"127,56"
"01/02/2008";"124,35"
"01/03/2008";"126,58"
"01/04/2008";"127,81"
"01/05/2008";"130,76"
"01/06/2008";"132,19"
"01/07/2008";"133,29"
"01/08/2008";"133,37"
"01/09/2008";"132,82"
"01/10/2008";"133,20"
"01/11/2008";"132,48"
"01/12/2008";"132,80"
"01/01/2009";"134,03"
"01/02/2009";"133,30"
"01/03/2009";"134,60"
"01/04/2009";"134,66"
"01/05/2009";"134,40"
"01/06/2009";"134,80"
"01/07/2009";"133,42"
"01/08/2009";"135,29"
"01/09/2009";"137,20"
"01/10/2009";"136,59"
"01/11/2009";"137,44"
"01/12/2009";"138,37"
"01/01/2010";"141,62"
"01/02/2010";"143,27"
"01/03/2010";"145,07"
"01/04/2010";"144,36"
"01/05/2010";"141,96"
"01/06/2010";"138,88"
"01/07/2010";"139,84"
"01/08/2010";"142,32"
"01/09/2010";"143,81"
"01/10/2010";"146,14"
"01/11/2010";"148,05"
"01/12/2010";"149,07"
"01/01/2011";"154,25"
"01/02/2011";"149,14"
"01/03/2011";"146,65"
"01/04/2011";"147,10"
"01/05/2011";"150,28"
"01/06/2011";"150,49"
"01/07/2011";"151,58"
"01/08/2011";"149,96"
"01/09/2011";"153,98"
"01/10/2011";"153,50"
"01/11/2011";"155,87"
"01/12/2011";"156,87"
"01/01/2012";"153,08"
"01/02/2012";"152,79"
"01/03/2012";"154,69"
"01/04/2012";"156,24"
"01/05/2012";"159,88"
"01/06/2012";"162,59"
"01/07/2012";"164,82"
"01/08/2012";"162,79"
"01/09/2012";"159,55"
"01/10/2012";"162,39"
"01/11/2012";"161,70"
"01/12/2012";"162,01"
"01/01/2013";"164,48"
"01/02/2013";"164,53"
"01/03/2013";"166,81"
"01/04/2013";"167,31"
"01/05/2013";"166,70"
"01/06/2013";"167,06"
"01/07/2013";"169,17"
"01/08/2013";"167,77"
"01/09/2013";"166,82"
"01/10/2013";"167,81"
"01/11/2013";"169,69"
"01/12/2013";"170,01"
"01/01/2014";"169,96"
"01/02/2014";"172,55"
"01/03/2014";"172,01"
"01/04/2014";"173,20"
"01/05/2014";"171,88"
"01/06/2014";"170,57"
"01/07/2014";"171,24"
"01/08/2014";"171,06"
"01/09/2014";"170,44"
"01/10/2014";"171,83"
"01/11/2014";"171,86"
"01/12/2014";"170,07"
"01/01/2015";"171,21"
"01/02/2015";"170,25"
"01/03/2015";"170,78"
"01/04/2015";"169,47"
"01/05/2015";"169,03"
"01/06/2015";"167,26"
"01/07/2015";"165,58"
"01/08/2015";"167,46"
"01/09/2015";"168,20"
"01/10/2015";"167,91"
"01/11/2015";"166,94"
"01/12/2015";"168,05"
"01/01/2016";"165,26"
"01/02/2016";"162,53"
"01/03/2016";"161,86"
"01/04/2016";"163,06"
"01/05/2016";"165,94"
"01/06/2016";"163,13"
"01/07/2016";"161,19"
"01/08/2016";"163,20"
"01/09/2016";"164,26"
"01/10/2016";"162,87"
"01/11/2016";"163,15"
"01/12/2016";"162,96"
"01/01/2017";"161,19"
"01/02/2017";"167,00"
"01/03/2017";"167,82"
"01/04/2017";"166,89"
"01/05/2017";"166,89"
"01/06/2017";"168,50"
"01/07/2017";"172,41"
"01/08/2017";"165,97"
"01/09/2017";"164,28"
"01/10/2017";"164,53"
"01/11/2017";"164,11"
"01/12/2017";"163,98"
"01/01/2018";"166,03"
"01/02/2018";"165,92"
"01/03/2018";"166,84"
"01/04/2018";"167,20"
"01/05/2018";"166,19"
"01/06/2018";"166,50"
"01/07/2018";"165,61"
"01/08/2018";"168,76"
"01/09/2018";"171,07"
"01/10/2018";"171,03"
"01/11/2018";"171,86"
"01/12/2018";"172,93"
"01/01/2019";"168,38"
"01/02/2019";"168,51"
"01/03/2019";"168,21"
"01/04/2019";"166,97"
"01/05/2019";"172,32"
"01/06/2019";"172,05"
"01/07/2019";"175,12"
"01/08/2019";"171,50"
"01/09/2019";"173,02"
"01/10/2019";"174,43"
"01/11/2019";"174,23"
"01/12/2019";"172,53"
"01/01/2020";"172,42"
"01/02/2020";"170,63"
"01/03/2020";"167,28"
"01/04/2020";"159,25"
"01/05/2020";"164,08"
"01/06/2020";"165,28"
"01/07/2020";"165,29"
"01/08/2020";"169,55"
"01/09/2020";"174,76"
"01/10/2020";"173,65"
"01/11/2020";"175,16"
"01/12/2020";"176,29"
"01/01/2021";"163,78"
"01/02/2021";"173,40"
"01/03/2021";"174,93"
"01/04/2021";"173,91"
"01/05/2021";"175,29"
"01/06/2021";"174,51"
"01/07/2021";"174,18"
"01/08/2021";"174,17"
"01/09/2021";"174,03"
"01/10/2021";"172,54"
"01/11/2021";"176,60"
"01/12/2021";"178,75"
"01/01/2022";"167,81"
"01/02/2022";"189,25"
"01/03/2022";"199,21"
"01/04/2022";"193,07"
"01/05/2022";"180,26"
"01/06/2022";"185,12"
"01/07/2022";"195,36"
"01/08/2022";"182,66"
"01/09/2022";"177,21"
"01/10/2022";"172,68"
"01/11/2022";"176,06"
"01/12/2022";"175,90"
"01/01/2023";"181,27"
"01/02/2023";"197,73"
"01/03/2023";"205,06"
"01/04/2023";"201,33"
"01/05/2023";"193,72"
"01/06/2023";"194,77"
"01/07/2023";"197,71"
"01/08/2023";"193,11"
"01/09/2023";"190,70"
"01/10/2023";"186,85"
"01/11/2023";"192,14"
"01/12/2023";"194,01"
"01/01/2024";"193,58"
"01/02/2024";"195,70"
"01/03/2024";"198,60"
"01/04/2024";"196,84"
"01/05/2024";"203,02"
"01/06/2024";"201,17"
"01/07/2024";"199,33"
"01/08/2024";"200,60"
"01/09/2024";"202,51"
"01/10/2024";"199,83"
