Dependente;Independente;Modelo;Grupo;R2 medio;Desvio R2;MSE medio;Desvio MSE;Tempo
Total de beneficiários;Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.00963
Total de beneficiários;Idese;XGBoost;0;-1.0452245950698853;0.3732336454979815;0.03233678676187992;0.0072612052558252115;0.00963
Total de beneficiários;Idese;MLP;0;-0.081939697265625;0.08639598709929948;0.017290052585303785;0.004198732873534135;0.00963
Total de beneficiários;Idese;Regressão linear;1;0.02344117958490144;0.006272445188975036;0.000989021192732155;0.00012317372875353595;0.01113
Total de beneficiários;Idese;XGBoost;1;-0.042785358428955075;0.012533028455110007;0.0010561816161498427;0.00013230025637463497;0.01113
Total de beneficiários;Idese;MLP;1;-0.007877206802368164;0.007260783800974653;0.00102104137185961;0.00013032189051609603;0.01113
Total de beneficiários;Idese;Regressão linear;2;-0.0009699911655446592;0.0023183290617266182;0.0015951404667513265;0.00010621661096586849;0.01132
Total de beneficiários;Idese;XGBoost;2;-0.08502459526062012;0.018962053688202325;0.001728745154105127;0.00011511985887091733;0.01132
Total de beneficiários;Idese;MLP;2;0.0003212928771972656;0.003133025033301426;0.001593385823071003;0.0001105595190263824;0.01132
Total de beneficiários;Blocos individuais;Regressão linear;0;0.17106378532971364;0.0254105373453375;0.008586019287288835;0.0012068522334182277;0.01212
Total de beneficiários;Blocos individuais;XGBoost;0;0.12992740869522096;0.02784907587791616;0.009040206298232078;0.0013999256722794895;0.01212
Total de beneficiários;Blocos individuais;MLP;0;0.23771424293518068;0.033913324778302285;0.007910753041505814;0.0012310367041338764;0.01212
Total de beneficiários;Blocos individuais;Regressão linear;1;0.11059324906894166;0.010141416132405032;0.0020916370097320163;0.0001814903313342896;0.01101
Total de beneficiários;Blocos individuais;XGBoost;1;-0.1742316246032715;0.07751437698433854;0.0027605346869677303;0.00027707878282441656;0.01101
Total de beneficiários;Blocos individuais;MLP;1;0.12608336210250853;0.017800823776397377;0.0020542046520859005;0.0001698373863494632;0.01101
Total de beneficiários;Bloco educação individual;Regressão linear;0;0.0006624600470427566;0.05967807213057599;0.019785228127213526;0.0035901351779480746;0.01249
Total de beneficiários;Bloco educação individual;XGBoost;0;-0.6645825386047364;0.09933927449834758;0.03281067572534084;0.005111804142590273;0.01249
Total de beneficiários;Bloco educação individual;MLP;0;-0.055386900901794434;0.09449145105210738;0.02071949318051338;0.002993918942582969;0.01249
Total de beneficiários;Bloco educação individual;Regressão linear;1;0.01414440039883802;0.005525358214397817;0.001168533480312299;0.00012556139311661882;0.01048
Total de beneficiários;Bloco educação individual;XGBoost;1;-0.020565891265869142;0.01617306057819796;0.001207878952845931;0.000113155108186762;0.01048
Total de beneficiários;Bloco educação individual;MLP;1;0.014253437519073486;0.016649426558669154;0.0011689985054545104;0.00013171754724579276;0.01048
Total de beneficiários;Bloco educaçaõ resumido;Regressão linear;0;0.3956368696188271;0.04088520341757692;0.006696652874598587;0.0017836309558151222;0.01169
Total de beneficiários;Bloco educaçaõ resumido;XGBoost;0;0.6155180692672729;0.053330740611994144;0.004249638132750988;0.0012174164213560855;0.01169
Total de beneficiários;Bloco educaçaõ resumido;MLP;0;0.5839649319648743;0.04912748873369605;0.004695423878729343;0.0015504873549587218;0.01169
Total de beneficiários;Bloco educaçaõ resumido;Regressão linear;1;0.2861303063309813;0.037588173968816974;0.0027541469071079494;0.0003830547421122843;0.01162
Total de beneficiários;Bloco educaçaõ resumido;XGBoost;1;0.526496970653534;0.07107929069637875;0.0018032858381047845;0.0002026022900988862;0.01162
Total de beneficiários;Bloco educaçaõ resumido;MLP;1;0.4958346486091614;0.08586020134552154;0.0019171963213011622;0.0002399005222141787;0.01162
Total de beneficiários;Bloco educação completo;Regressão linear;0;0.39825533146152126;0.07977084857921228;0.006554368007712865;0.0010288362449309052;0.01206
Total de beneficiários;Bloco educação completo;XGBoost;0;0.729089105129242;0.03462571548390891;0.0029641882050782443;0.000512733834918247;0.01206
Total de beneficiários;Bloco educação completo;MLP;0;0.08467317819595337;0.1740420461396087;0.01003038752824068;0.00236221103498787;0.01206
Total de beneficiários;Bloco educação completo;Regressão linear;1;0.2677310422714381;0.021222090544889913;0.0024775044047844405;0.00046385218079971255;0.01490
Total de beneficiários;Bloco educação completo;XGBoost;1;0.6538634419441223;0.03109159370462696;0.0011702544055879117;0.00023055356860450103;0.01490
Total de beneficiários;Bloco educação completo;MLP;1;0.4876523494720459;0.05242694183965037;0.0017134734895080327;0.00024147193513983397;0.01490
Total de beneficiários;Bloco renda individual;Regressão linear;0;-0.036231090827609516;0.02692459255081245;0.018105133131666992;0.005860409811000753;0.00890
Total de beneficiários;Bloco renda individual;XGBoost;0;-1.1380538463592529;0.5076344445494876;0.03607184775173664;0.011164941414834421;0.00890
Total de beneficiários;Bloco renda individual;MLP;0;-0.04089288711547852;0.03690527705349685;0.018040931224822997;0.005322910353092887;0.00890
Total de beneficiários;Bloco renda individual;Regressão linear;1;0.017409683357062434;0.003619372126972154;0.0011839421446456938;0.00010301348968275462;0.01039
Total de beneficiários;Bloco renda individual;XGBoost;1;-0.019352877140045167;0.013471014017247072;0.001229079347103834;0.00011709253560755334;0.01039
Total de beneficiários;Bloco renda individual;MLP;1;-0.0037533164024353026;0.01843402684791393;0.0012099141953513027;0.00011325118629216014;0.01039
Total de beneficiários;Bloco renda completo;Regressão linear;0;-0.022617644436462102;0.07630462390390129;0.01802181873784811;0.002080176422275096;0.01123
Total de beneficiários;Bloco renda completo;XGBoost;0;0.05204018354415894;0.3077535685670259;0.01674445765092969;0.005730133712551308;0.01123
Total de beneficiários;Bloco renda completo;MLP;0;-0.06251637935638428;0.3235119157155338;0.018978468514978884;0.006639127864795708;0.01123
Total de beneficiários;Bloco renda completo;Regressão linear;1;0.012679798827005229;0.006447800975212488;0.001290760877588307;0.0002082874600848015;0.01178
Total de beneficiários;Bloco renda completo;XGBoost;1;-0.2855052471160889;0.05302075446719206;0.0016755484975874424;0.0002517323948395637;0.01178
Total de beneficiários;Bloco renda completo;MLP;1;0.02211806774139404;0.05664768244720478;0.0012833332875743508;0.0002478200239939066;0.01178
Total de beneficiários;Bloco renda completo;Regressão linear;2;0.009175576751807935;0.004175280254334672;0.0015685057287568166;7.143510872032348e-05;0.01182
Total de beneficiários;Bloco renda completo;XGBoost;2;-0.34086754322052004;0.12797900067849066;0.0021136292722076177;0.00010782243508765771;0.01182
Total de beneficiários;Bloco renda completo;MLP;2;0.04039263725280762;0.012081930155446082;0.0015187119133770466;6.30603183368713e-05;0.01182
Total de beneficiários;Bloco saúde individual;Regressão linear;0;-0.011105069665991119;0.00844474254415212;0.017680057162304204;0.002108153627071694;0.01033
Total de beneficiários;Bloco saúde individual;XGBoost;0;-0.9659929037094116;0.314579621792253;0.03430448919534683;0.006684548405191817;0.01033
Total de beneficiários;Bloco saúde individual;MLP;0;-0.04119794368743897;0.07499005312203523;0.018140431120991708;0.0019237292083308054;0.01033
Total de beneficiários;Bloco saúde individual;Regressão linear;1;0.05967154183050052;0.008751860784934078;0.00027718293684334135;4.71706472621758e-05;0.01017
Total de beneficiários;Bloco saúde individual;XGBoost;1;0.018724632263183594;0.020806229164887356;0.00028829145594500005;4.375029465716044e-05;0.01017
Total de beneficiários;Bloco saúde individual;MLP;1;-0.012595486640930176;0.013494017992580702;0.00029820729396305977;4.9085796828270814e-05;0.01017
Total de beneficiários;Bloco saúde individual;Regressão linear;2;0.04193710769776391;0.005930196108348601;0.0018930898740724973;9.2972579396951e-05;0.01024
Total de beneficiários;Bloco saúde individual;XGBoost;2;0.025761628150939943;0.03479390716876359;0.0019217533525079488;2.9046744189912676e-05;0.01024
Total de beneficiários;Bloco saúde individual;MLP;2;-0.004125833511352539;0.003177634513918249;0.001984029868617654;9.475250346086241e-05;0.01024
Total de beneficiários;Bloco saaúde resumido;Regressão linear;0;0.10893775512105183;0.011424868376991429;0.009797810267243984;0.0017960614768249474;0.01159
Total de beneficiários;Bloco saaúde resumido;XGBoost;0;-0.0020235419273376466;0.08618147782002705;0.010878663323819638;0.0013364198469549705;0.01159
Total de beneficiários;Bloco saaúde resumido;MLP;0;0.12858688831329346;0.023750460501898545;0.009606130514293909;0.0019220187800786093;0.01159
Total de beneficiários;Bloco saaúde resumido;Regressão linear;1;0.05105739761579449;0.0068325621095454;0.0008120041564086562;0.0003066728213624938;0.01229
Total de beneficiários;Bloco saaúde resumido;XGBoost;1;-0.1339091181755066;0.18804095057790474;0.0009377759182825684;0.0002977861903346721;0.01229
Total de beneficiários;Bloco saaúde resumido;MLP;1;-0.00803515911102295;0.004625551467095447;0.0008637342019937932;0.000328815363590611;0.01229
Total de beneficiários;Bloco saúde completo;Regressão linear;0;0.16345960073999347;0.02246670204300919;0.00951185412093274;0.0010241445222186909;0.01299
Total de beneficiários;Bloco saúde completo;XGBoost;0;0.2839446425437927;0.02488834088111058;0.008161930739879609;0.0010627304818641894;0.01299
Total de beneficiários;Bloco saúde completo;MLP;0;0.21755561828613282;0.027331805565644338;0.008911328017711639;0.001094295018951755;0.01299
Total de beneficiários;Bloco saúde completo;Regressão linear;1;0.09236978353306566;0.01428541965825855;0.0012045734228823073;0.0002452964641720594;0.01478
Total de beneficiários;Bloco saúde completo;XGBoost;1;0.1547725558280945;0.08119019936651692;0.0011085931095294655;0.00017672165549922097;0.01478
Total de beneficiários;Bloco saúde completo;MLP;1;0.11456979513168335;0.019276417586157744;0.0011742463568225503;0.00023176111227398292;0.01478
Total de beneficiários;Todos atributos independentes;Regressão linear;0;0.43456384839190887;0.028375522643431007;0.005705512050254875;0.0009049261945283056;0.01719
Total de beneficiários;Todos atributos independentes;XGBoost;0;0.8139187097549438;0.035417121970560364;0.0018959236796945334;0.0005731509700054601;0.01719
Total de beneficiários;Todos atributos independentes;MLP;0;0.7349520444869995;0.05417445033807676;0.0026141966227442026;0.0003171118349982772;0.01719
Total de beneficiários;Todos atributos independentes;Regressão linear;1;0.3210358907886576;0.032597800870246905;0.0017269452722138568;0.0003848267565818304;0.01846
Total de beneficiários;Todos atributos independentes;XGBoost;1;0.7388001918792725;0.06278589269516821;0.0006493516324553638;0.00014847594778585296;0.01846
Total de beneficiários;Todos atributos independentes;MLP;1;0.607563066482544;0.12313327314695416;0.0010131436167284847;0.00047576813296349;0.01846
Valor total repassado;Idese;Regressão linear;0;-0.038155673492232034;0.03963359580805958;0.02789528853109296;0.006364021741565025;0.00942
Valor total repassado;Idese;XGBoost;0;-0.8555195808410645;0.3959146699274224;0.04819456189870834;0.008731468808118679;0.00942
Valor total repassado;Idese;MLP;0;-0.005729150772094726;0.07248734481637892;0.026766367629170416;0.00499998928981001;0.00942
Valor total repassado;Idese;Regressão linear;1;-0.004726299547842561;0.0060154917529736925;0.0015528879303794568;0.0002539214211751748;0.01166
Valor total repassado;Idese;XGBoost;1;-0.09194364547729492;0.02213113934309255;0.0016833376605063677;0.00024756294265005946;0.01166
Valor total repassado;Idese;MLP;1;-0.010438299179077149;0.005822300199174454;0.0015602989587932825;0.00024568984489542966;0.01166
Valor total repassado;Idese;Regressão linear;2;0.01803375624528598;0.012873247584405624;0.0011144256308417428;0.0001730567277557102;0.01048
Valor total repassado;Idese;XGBoost;2;-0.03809020519256592;0.02448594907317604;0.0011779687600210309;0.0001853402366616131;0.01048
Valor total repassado;Idese;MLP;2;-0.006624007225036621;0.00917076328909026;0.0011413266882300376;0.00016877952034235612;0.01048
Valor total repassado;Blocos individuais;Regressão linear;0;0.1564313734542915;0.017116044420666172;0.008595908916487658;0.0022897834757831387;0.01066
Valor total repassado;Blocos individuais;XGBoost;0;-0.008727359771728515;0.10228592336505671;0.010009355470538139;0.0015140910098768888;0.01066
Valor total repassado;Blocos individuais;MLP;0;0.19818856716156005;0.12539104429976078;0.00808269064873457;0.0020673494356283633;0.01066
Valor total repassado;Blocos individuais;Regressão linear;1;0.11357934991228365;0.018280618869076563;0.002278503130500385;0.0006030553528186181;0.00998
Valor total repassado;Blocos individuais;XGBoost;1;-0.1542919635772705;0.19108382942835375;0.002948041493073106;0.0009149101583386708;0.00998
Valor total repassado;Blocos individuais;MLP;1;0.12492079734802246;0.039670513319587215;0.002257738565094769;0.000624289058226143;0.00998
Valor total repassado;Bloco educação individual;Regressão linear;0;-0.012283794298975925;0.01614650007910867;0.028157065215174325;0.004302700943671529;0.01020
Valor total repassado;Bloco educação individual;XGBoost;0;-1.4317994832992553;0.5088033491805382;0.06680044904351234;0.014037614070507203;0.01020
Valor total repassado;Bloco educação individual;MLP;0;-0.05426487922668457;0.06451338566451462;0.029217757657170294;0.004011379942812391;0.01020
Valor total repassado;Bloco educação individual;Regressão linear;1;0.0054013575524603395;0.002075436691922584;0.0011522267400733695;0.00014611521180806582;0.00977
Valor total repassado;Bloco educação individual;XGBoost;1;-0.022348666191101076;0.007869303077225701;0.001183522620704025;0.00014389934574026244;0.00977
Valor total repassado;Bloco educação individual;MLP;1;-0.005322003364562988;0.003737622559648602;0.001165039069019258;0.00015047786117157065;0.00977
Valor total repassado;Bloco educaçaõ resumido;Regressão linear;0;0.3613717542925021;0.03870752180116162;0.005880386629778029;0.0014180192248200215;0.00983
Valor total repassado;Bloco educaçaõ resumido;XGBoost;0;0.5964581727981567;0.07950482489113146;0.0038163089659065006;0.0014416462074956905;0.00983
Valor total repassado;Bloco educaçaõ resumido;MLP;0;0.5303772687911987;0.06509664454034425;0.004334227927029133;0.0011613419041952267;0.00983
