id;Combinacao;Modelo;Grupo;R2 medio;Desvio R2;MSE medio;Desvio MSE;Tempo
0;Total de beneficiarios <-> Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.00982522964477539
1;Total de beneficiarios <-> Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.12729334831237793
2;Total de beneficiarios <-> Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07132101058959961
3;Total de beneficiarios <-> Idese;MLP;0;-0.12273290157318115;0.159384128946196;0.01774044372141361;0.0036855763432927283;13.334.361.791.610.700
0;Total de beneficiarios <-> Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.00982522964477539
1;Total de beneficiarios <-> Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.12729334831237793
2;Total de beneficiarios <-> Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07132101058959961
3;Total de beneficiarios <-> Idese;MLP;0;-0.12273290157318115;0.159384128946196;0.01774044372141361;0.0036855763432927283;13.334.361.791.610.700
4;Total de beneficiarios <-> Idese;Regressão linear;1;0.02344117958490144;0.006272445188975036;0.000989021192732155;0.00012317372875353595;0.009325027465820312
5;Total de beneficiarios <-> Idese;XGBoost;1;0.01607222557067871;0.008424552925987205;0.0009969411883503198;0.00012846948510321945;0.1637427806854248
6;Total de beneficiarios <-> Idese;Light GBM;1;-0.014427429518837886;0.00993056573180371;0.0010274868806140337;0.00012884632330884381;0.18140053749084473
7;Total de beneficiarios <-> Idese;MLP;1;-0.007103419303894043;0.007496118671941618;0.0010203039622865618;0.00013066981454158648;40.966.302.156.448.300
0;Total de beneficiarios <-> Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.00982522964477539
