id;Combinacao;Modelo;Grupo;R2 medio;Desvio R2;MSE medio;Desvio MSE;Tempo
0;Total de beneficiarios <-> Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.008771657943725586
1;Total de beneficiarios <-> Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.1126410961151123
2;Total de beneficiarios <-> Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07071638107299805
3;Total de beneficiarios <-> Idese;MLP;0;-0.07142807245254516;0.07755172873578049;0.016895083524286748;0.002657864982392699;12.681.530.952.453.600
0;Total de beneficiarios <-> Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.008771657943725586
1;Total de beneficiarios <-> Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.1126410961151123
2;Total de beneficiarios <-> Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07071638107299805
3;Total de beneficiarios <-> Idese;MLP;0;-0.07142807245254516;0.07755172873578049;0.016895083524286748;0.002657864982392699;12.681.530.952.453.600
4;Total de beneficiarios <-> Idese;Regressão linear;1;0.057545697726332466;0.0023450547522513364;0.0012488142891880303;7,64E+10;0.011499166488647461
5;Total de beneficiarios <-> Idese;XGBoost;1;0.057238876819610596;0.0023343166377752934;0.001249284902587533;7,75E+10;0.14816927909851074
6;Total de beneficiarios <-> Idese;Light GBM;1;0.04104703717885514;0.00979798108562495;0.001270385154908607;7,34E+10;0.17624354362487793
7;Total de beneficiarios <-> Idese;MLP;1;-0.0010599851608276366;0.0009475036825903676;0.0013266695896163583;8,45E+10;6.661.297.678.947.440
0;Total de beneficiarios <-> blocos;Regressão linear;0;0.1883776814479206;0.03680883498364421;0.01183522970298154;0.0010907362824061201;0.013357162475585938
1;Total de beneficiarios <-> blocos;XGBoost;0;0.256743848323822;0.0380805805670551;0.010835946165025234;0.0010120599115004607;0.16972565650939941
2;Total de beneficiarios <-> blocos;Light GBM;0;0.22968857195307138;0.052767583884949676;0.011213877220846769;0.001012325890254849;0.19368815422058105
3;Total de beneficiarios <-> blocos;MLP;0;0.20411468744277955;0.0305501545654625;0.01161980014294386;0.0011762314949787071;24.129.453.897.476.100
0;Total de beneficiarios <-> blocos;Regressão linear;0;0.1883776814479206;0.03680883498364421;0.01183522970298154;0.0010907362824061201;0.013357162475585938
1;Total de beneficiarios <-> blocos;XGBoost;0;0.256743848323822;0.0380805805670551;0.010835946165025234;0.0010120599115004607;0.16972565650939941
2;Total de beneficiarios <-> blocos;Light GBM;0;0.22968857195307138;0.052767583884949676;0.011213877220846769;0.001012325890254849;0.19368815422058105
3;Total de beneficiarios <-> blocos;MLP;0;0.20411468744277955;0.0305501545654625;0.01161980014294386;0.0011762314949787071;24.129.453.897.476.100
4;Total de beneficiarios <-> blocos;Regressão linear;1;0.11059324906894166;0.010141416132405032;0.0020916370097320163;0.0001814903313342896;0.012153148651123047
5;Total de beneficiarios <-> blocos;XGBoost;1;0.1322166919708252;0.009676278847374284;0.0020411076257005334;0.00018030781827316588;0.20062589645385742
6;Total de beneficiarios <-> blocos;Light GBM;1;0.09447249597380858;0.017669947802631862;0.002130774968023134;0.00019881161597512482;0.22482824325561523
7;Total de beneficiarios <-> blocos;MLP;1;0.12688785791397095;0.015377685858726661;0.002051460649818182;0.0001584255346487548;4.146.487.641.334.530
0;Total de beneficiarios <-> blocos;Regressão linear;0;0.1883776814479206;0.03680883498364421;0.01183522970298154;0.0010907362824061201;0.013357162475585938
1;Total de beneficiarios <-> blocos;XGBoost;0;0.256743848323822;0.0380805805670551;0.010835946165025234;0.0010120599115004607;0.16972565650939941
