Dependente;Independente;Modelo;Grupo;R2 medio;Desvio R2;MSE medio;Desvio MSE;Tempo
Total de beneficiarios;Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.008630990982055664
Total de beneficiarios;Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.1434791088104248
Total de beneficiarios;Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07668399810791016
Total de beneficiarios;Idese;MLP;0;-0.11797454357147216;0.15042480945947576;0.017679550871253013;0.003679617000575253;30.966811180114746
Total de beneficiarios;Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.008630990982055664
Total de beneficiarios;Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.1434791088104248
Total de beneficiarios;Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07668399810791016
Total de beneficiarios;Idese;MLP;0;-0.11797454357147216;0.15042480945947576;0.017679550871253013;0.003679617000575253;30.966811180114746
Total de beneficiarios;Idese;Regressão linear;1;0.02344117958490144;0.006272445188975036;0.000989021192732155;0.00012317372875353595;0.008821725845336914
Total de beneficiarios;Idese;XGBoost;1;0.01607222557067871;0.008424552925987205;0.0009969411883503198;0.00012846948510321945;0.1396942138671875
Total de beneficiarios;Idese;Light GBM;1;-0.014427429518837886;0.00993056573180371;0.0010274868806140337;0.00012884632330884381;0.18567180633544922
Total de beneficiarios;Idese;MLP;1;-0.014463496208190919;0.020678170627580417;0.0010275344946421682;0.00013085745608355448;46.837895154953
Total de beneficiarios;Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.008630990982055664
Total de beneficiarios;Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.1434791088104248
Total de beneficiarios;Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07668399810791016
Total de beneficiarios;Idese;MLP;0;-0.11797454357147216;0.15042480945947576;0.017679550871253013;0.003679617000575253;30.966811180114746
Total de beneficiarios;Idese;Regressão linear;1;0.02344117958490144;0.006272445188975036;0.000989021192732155;0.00012317372875353595;0.008821725845336914
Total de beneficiarios;Idese;XGBoost;1;0.01607222557067871;0.008424552925987205;0.0009969411883503198;0.00012846948510321945;0.1396942138671875
Total de beneficiarios;Idese;Light GBM;1;-0.014427429518837886;0.00993056573180371;0.0010274868806140337;0.00012884632330884381;0.18567180633544922
Total de beneficiarios;Idese;MLP;1;-0.014463496208190919;0.020678170627580417;0.0010275344946421682;0.00013085745608355448;46.837895154953
Total de beneficiarios;Idese;Regressão linear;2;-0.0009699911655446592;0.0023183290617266182;0.0015951404667513265;0.00010621661096586849;0.010766029357910156
Total de beneficiarios;Idese;XGBoost;2;-0.00471411943435669;0.008612152569601298;0.001601490844041109;0.00011281087883809614;0.14107108116149902
Total de beneficiarios;Idese;Light GBM;2;-0.03136345182172713;0.012171977750142567;0.0016432547145486867;0.00010603685973253908;0.1632087230682373
Total de beneficiarios;Idese;MLP;2;-0.0010990381240844726;0.0060097343490000754;0.0015958935488015412;0.00011439081312478409;41.14868974685669
