Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Total de beneficiários,Todos atributos independentes,XGBoost,0,0.80834,0.045333,0.00171,0.000241,2.626785
Valor total repassado,Todos atributos independentes,XGBoost,0,0.745555,0.030324,0.002715,0.000572,2.581821
Valor total repassado,Bloco educação completo,XGBoost,0,0.731375,0.078866,0.003856,0.001392,1.288134
Total de beneficiários,Bloco educação completo,XGBoost,0,0.701133,0.054435,0.005095,0.001702,1.35437
Total de beneficiários,Todos atributos independentes,MLP,0,0.63553,0.065655,0.003289,0.000511,34.65489
Total de beneficiários,Bloco educação resumido,XGBoost,0,0.610955,0.028193,0.006809,0.002021,1.147171
Valor total repassado,Bloco educação resumido,XGBoost,0,0.587841,0.078917,0.005554,0.002628,1.124594
Total de beneficiários,Bloco educação completo,MLP,0,0.549955,0.062839,0.007399,0.001344,24.86642
Valor total repassado,Bloco educação completo,MLP,0,0.52051,0.061096,0.006728,0.001175,25.210935
População beneficiária,Todos atributos independentes,XGBoost,0,0.48211,0.043431,0.014479,0.001997,2.351608
Repasse por população,Todos atributos independentes,XGBoost,0,0.43812,0.015998,0.008537,0.000793,3.663871
Total de beneficiários,Bloco educação resumido,Regressão linear,0,0.43051,0.058938,0.009881,0.002889,0.010741
Total de beneficiários,Bloco educação completo,Regressão linear,0,0.42495,0.057271,0.00949,0.001603,0.011188
Total de beneficiários,Todos atributos independentes,Regressão linear,0,0.42419,0.039874,0.005221,0.000411,0.015852
População beneficiária,Bloco educação completo,XGBoost,0,0.414855,0.039981,0.016431,0.001692,1.929967
Repasse por beneficiário,Bloco educação completo,XGBoost,0,0.397762,0.057111,0.001732,0.000198,1.874757
População beneficiária,Bloco educação individual,Regressão linear,0,0.387921,0.0362,0.003815,0.000278,0.01041
Valor total repassado,Todos atributos independentes,Regressão linear,0,0.385658,0.026256,0.006585,0.001278,0.01549
População beneficiária,Bloco educação individual,MLP,0,0.372884,0.025573,0.003904,0.000145,36.544736
Valor total repassado,Bloco educação completo,Regressão linear,0,0.365088,0.04282,0.008996,0.001775,0.011131
Repasse por população,Bloco educação completo,XGBoost,0,0.343309,0.082705,0.005829,0.000328,1.556928
População beneficiária,Bloco educação individual,XGBoost,0,0.332002,0.03622,0.004162,0.000261,0.789315
Valor total repassado,Bloco educação resumido,Regressão linear,0,0.317118,0.140912,0.008704,0.003002,0.009612
Repasse por beneficiário,Bloco educação completo,MLP,0,0.306867,0.054544,0.002008,0.000309,37.165208
Valor total repassado,Bloco renda completo,XGBoost,0,0.284325,0.091869,0.019612,0.005165,0.707704
Repasse por beneficiário,Bloco educação completo,Regressão linear,0,0.264639,0.030491,0.002125,0.000257,0.010763
Repasse por população,Todos atributos independentes,MLP,0,0.261442,0.035477,0.011275,0.001601,40.116008
População beneficiária,Idese,Regressão linear,0,0.232237,0.021386,0.00466,0.000174,0.010901
Repasse por beneficiário,Todos atributos independentes,XGBoost,0,0.217752,0.048762,0.003579,0.000328,2.928459
População beneficiária,Bloco educação resumido,XGBoost,0,0.211572,0.043191,0.010641,0.000972,1.625036
Total de beneficiários,Bloco saúde resumido,MLP,0,0.208217,0.056363,0.019273,0.003386,23.466718
Repasse por beneficiário,Todos atributos independentes,Regressão linear,0,0.206356,0.035551,0.003637,0.000366,0.016299
Total de beneficiários,Blocos individuais,MLP,0,0.203389,0.02592,0.011636,0.0012,31.775671
Repasse por beneficiário,Bloco educação resumido,Regressão linear,0,0.196167,0.035345,0.002044,0.000279,0.011095
Repasse por beneficiário,Bloco educação resumido,MLP,0,0.195128,0.050131,0.002045,0.000275,33.150964
Total de beneficiários,Blocos individuais,Regressão linear,0,0.188378,0.036809,0.011835,0.001091,0.010508
Repasse por beneficiário,Todos atributos independentes,MLP,0,0.186566,0.056638,0.003735,0.000495,33.558519
Valor total repassado,Blocos individuais,Regressão linear,0,0.177596,0.043332,0.011837,0.002042,0.011761
População beneficiária,Bloco renda individual,MLP,0,0.166351,0.081035,0.006394,0.000436,33.664119
Repasse por beneficiário,Bloco educação resumido,XGBoost,0,0.165506,0.066213,0.002103,0.000152,1.563502
Total de beneficiários,Bloco renda completo,XGBoost,0,0.160934,0.074129,0.008875,0.000699,1.605511
Repasse por população,Todos atributos independentes,Regressão linear,0,0.160629,0.029704,0.012757,0.00124,0.015309
População beneficiária,Idese,XGBoost,0,0.150452,0.022123,0.005158,0.000208,0.802126
População beneficiária,Bloco educação resumido,Regressão linear,0,0.142649,0.023247,0.011573,0.000925,0.009834
População beneficiária,Bloco saúde completo,Regressão linear,0,0.141461,0.015849,0.011148,0.000516,0.011417
População beneficiária,Bloco renda individual,Regressão linear,0,0.136961,0.042727,0.006629,0.000107,0.009618
População beneficiária,Bloco saúde completo,XGBoost,0,0.134529,0.07009,0.011227,0.000914,1.986399
Total de beneficiários,Bloco saúde resumido,XGBoost,0,0.133741,0.1282,0.02074,0.002038,1.282452
Repasse por população,Bloco educação completo,MLP,0,0.133333,0.039471,0.007762,0.000656,27.752706
Total de beneficiários,Bloco saúde completo,XGBoost,0,0.12394,0.028358,0.007833,0.001793,1.849333
População beneficiária,Bloco educação completo,Regressão linear,0,0.121221,0.039248,0.024725,0.002597,0.011787
Valor total repassado,Bloco saúde completo,XGBoost,0,0.115033,0.10092,0.008459,0.001804,2.000764
População beneficiária,Blocos individuais,Regressão linear,0,0.111154,0.008176,0.009475,0.000303,0.01213
Valor total repassado,Blocos individuais,XGBoost,0,0.105174,0.104908,0.012777,0.001891,1.56431
População beneficiária,Bloco renda individual,XGBoost,0,0.104033,0.058466,0.00688,0.000258,0.904567
População beneficiária,Bloco saúde resumido,Regressão linear,0,0.100843,0.022065,0.00946,0.000392,0.009662
Repasse por população,Bloco educação completo,Regressão linear,0,0.093176,0.019817,0.008132,0.000719,0.009588
Total de beneficiários,Bloco saúde completo,Regressão linear,0,0.092242,0.033036,0.008214,0.002394,0.012017
Total de beneficiários,Bloco saúde completo,MLP,0,0.086113,0.042908,0.008273,0.002436,32.103937
Repasse por população,Idese,Regressão linear,0,0.086059,0.010382,0.0039,0.000218,0.009545
Valor total repassado,Bloco saúde completo,Regressão linear,0,0.081379,0.024342,0.00882,0.001903,0.01194
Total de beneficiários,Bloco renda completo,Regressão linear,0,0.080116,0.020951,0.009829,0.001323,0.009682
Total de beneficiários,Blocos individuais,XGBoost,0,0.076116,0.10403,0.013434,0.00149,1.476081
População beneficiária,Bloco saúde individual,MLP,0,0.072346,0.014367,0.007719,0.000351,43.546358
Repasse por população,Bloco saúde individual,Regressão linear,0,0.069836,0.033196,0.004804,0.000222,0.010645
Repasse por beneficiário,Bloco saúde completo,MLP,0,0.067284,0.03283,0.00408,0.000291,41.671224
Valor total repassado,Bloco renda individual,MLP,0,0.065007,0.033052,0.026253,0.003525,17.906406
População beneficiária,Bloco saúde individual,Regressão linear,0,0.060308,0.006922,0.007817,0.000287,0.011991
População beneficiária,Bloco renda completo,Regressão linear,0,0.058214,0.026037,0.008171,0.000485,0.010761
Total de beneficiários,Bloco saúde resumido,Regressão linear,0,0.056358,0.052221,0.022863,0.002908,0.010718
Repasse por população,Bloco educação individual,Regressão linear,0,0.052898,0.014678,0.00589,0.000386,0.010032
