Dependente,Independente,Modelo,Grupo,R2 médio,R2 desvio,MSE médio,MSE desvio,Tempo de execução
Total de beneficiários,Todos atributos independentes,XGBoost,0,0.813919,0.035417,0.001896,0.000573,2.996816
Valor total repassado,Todos atributos independentes,XGBoost,0,0.793511,0.034025,0.00196,0.000398,3.079676
Total de beneficiários,Todos atributos independentes,XGBoost,1,0.7388,0.062786,0.000649,0.000148,2.964712
Total de beneficiários,Bloco educação completo,XGBoost,0,0.729089,0.034626,0.002964,0.000513,1.636131
Valor total repassado,Todos atributos independentes,XGBoost,1,0.714004,0.043305,0.000877,0.000257,3.126139
Total de beneficiários,Todos atributos independentes,MLP,0,0.702486,0.050545,0.002955,0.00039,39.832221
Valor total repassado,Bloco educação completo,XGBoost,0,0.701422,0.05903,0.002801,0.000548,1.539386
Total de beneficiários,Bloco educação completo,XGBoost,1,0.653863,0.031092,0.00117,0.000231,2.010767
Total de beneficiários,Bloco educação resumido,XGBoost,0,0.615518,0.053331,0.00425,0.001217,1.45094
Total de beneficiários,Todos atributos independentes,MLP,1,0.608982,0.099029,0.000994,0.000342,46.80645
Valor total repassado,Bloco educação resumido,XGBoost,0,0.596458,0.079505,0.003816,0.001442,1.434793
Total de beneficiários,Bloco educação resumido,MLP,0,0.570605,0.046919,0.004811,0.001519,33.610987
População beneficiária,Todos atributos independentes,XGBoost,1,0.553404,0.018348,0.008506,0.000331,3.700958
Valor total repassado,Bloco educação completo,MLP,0,0.535534,0.035636,0.004369,0.000461,37.92476
Valor total repassado,Bloco educação resumido,MLP,0,0.528581,0.039525,0.004348,0.001027,34.509531
Total de beneficiários,Bloco educação resumido,XGBoost,1,0.526497,0.071079,0.001803,0.000203,1.777387
Valor total repassado,Bloco educação completo,XGBoost,1,0.518118,0.102703,0.002006,0.000133,1.865354
População beneficiária,Todos atributos independentes,XGBoost,0,0.517233,0.024223,0.014241,0.000313,3.720011
Total de beneficiários,Bloco educação resumido,MLP,1,0.505017,0.084314,0.001881,0.00022,57.417591
Valor total repassado,Bloco educação resumido,XGBoost,1,0.473638,0.072087,0.002464,0.000143,1.83308
População beneficiária,Bloco educação completo,XGBoost,0,0.452387,0.036627,0.01665,0.000733,2.057466
Repasse por população,Todos atributos independentes,XGBoost,0,0.43812,0.015998,0.008537,0.000793,3.701384
Total de beneficiários,Todos atributos independentes,Regressão linear,0,0.434564,0.028376,0.005706,0.000905,0.016747
Valor total repassado,Bloco educação resumido,MLP,1,0.409388,0.061253,0.002774,9.5e-05,59.146506
Total de beneficiários,Bloco educação completo,Regressão linear,0,0.398255,0.079771,0.006554,0.001029,0.011086
Repasse por beneficiário,Bloco educação completo,XGBoost,0,0.397762,0.057111,0.001732,0.000198,1.837144
Total de beneficiários,Bloco educação resumido,Regressão linear,0,0.395637,0.040885,0.006697,0.001784,0.010786
Repasse por população,Bloco educação completo,XGBoost,0,0.389244,0.061415,0.009345,0.001017,1.790938
Valor total repassado,Todos atributos independentes,Regressão linear,0,0.387405,0.026111,0.005801,0.000499,0.01649
Repasse por população,Todos atributos independentes,XGBoost,1,0.38723,0.03692,0.005865,0.000767,3.922435
População beneficiária,Bloco educação completo,XGBoost,1,0.365815,0.016734,0.010781,0.000506,2.124153
Repasse por beneficiário,Todos atributos independentes,XGBoost,0,0.362607,0.031864,0.002617,0.000188,3.587175
Valor total repassado,Bloco educação completo,MLP,1,0.361395,0.147581,0.002702,0.000619,53.608041
Valor total repassado,Bloco educação resumido,Regressão linear,0,0.361372,0.038708,0.00588,0.001418,0.011439
População beneficiária,Todos atributos independentes,MLP,1,0.357974,0.048021,0.012289,0.001556,45.298869
Valor total repassado,Bloco educação completo,Regressão linear,0,0.343606,0.04945,0.006171,0.000614,0.011764
População beneficiária,Todos atributos independentes,Regressão linear,1,0.326569,0.019524,0.012847,0.000815,0.017334
Total de beneficiários,Todos atributos independentes,Regressão linear,1,0.321036,0.032598,0.001727,0.000385,0.017085
Repasse por beneficiário,Bloco educação completo,MLP,0,0.308375,0.043805,0.002001,0.000276,37.926701
Repasse por beneficiário,Todos atributos independentes,Regressão linear,0,0.307578,0.014806,0.00284,0.00011,0.016888
Repasse por população,Bloco educação completo,XGBoost,1,0.295303,0.037206,0.00844,0.000532,2.160092
Repasse por população,Todos atributos independentes,MLP,1,0.291208,0.029485,0.006775,0.000779,44.195781
Total de beneficiários,Bloco educação resumido,Regressão linear,1,0.28613,0.037588,0.002754,0.000383,0.011835
Valor total repassado,Bloco renda completo,XGBoost,0,0.284325,0.091869,0.019612,0.005165,0.733238
Total de beneficiários,Bloco saúde completo,XGBoost,0,0.283945,0.024888,0.008162,0.001063,2.214874
Valor total repassado,Todos atributos independentes,Regressão linear,1,0.28257,0.016392,0.002251,0.000754,0.018466
Total de beneficiários,Bloco educação completo,Regressão linear,1,0.267731,0.021222,0.002478,0.000464,0.012419
População beneficiária,Todos atributos independentes,MLP,0,0.266745,0.033148,0.021719,0.001997,41.299771
Repasse por beneficiário,Bloco educação completo,Regressão linear,0,0.264639,0.030491,0.002125,0.000257,0.012298
Valor total repassado,Bloco saúde completo,XGBoost,0,0.242342,0.096362,0.008636,0.000506,2.078207
Valor total repassado,Bloco educação resumido,Regressão linear,1,0.241391,0.029706,0.003589,0.000294,0.011299
Valor total repassado,Bloco educação completo,Regressão linear,1,0.237379,0.038803,0.003238,0.000255,0.011504
Total de beneficiários,Bloco saúde completo,MLP,0,0.234399,0.020232,0.008709,0.000946,38.433983
Total de beneficiários,Blocos individuais,MLP,0,0.232854,0.044531,0.007938,0.001153,40.664361
Repasse por população,Todos atributos independentes,Regressão linear,1,0.231577,0.024997,0.007347,0.000835,0.016001
Repasse por beneficiário,Todos atributos independentes,MLP,0,0.21838,0.202691,0.003211,0.000855,37.565466
Repasse por população,Todos atributos independentes,MLP,0,0.212981,0.111408,0.012108,0.002942,42.59778
Valor total repassado,Bloco saúde completo,MLP,0,0.211568,0.10431,0.009043,0.001081,40.434188
População beneficiária,Bloco educação resumido,XGBoost,1,0.206517,0.023246,0.022595,0.001348,1.681533
População beneficiária,Bloco educação resumido,MLP,1,0.201396,0.042746,0.022761,0.001901,37.896732
Repasse por beneficiário,Bloco educação resumido,Regressão linear,0,0.196167,0.035345,0.002044,0.000279,0.011926
Repasse por beneficiário,Bloco educação resumido,MLP,0,0.192277,0.060705,0.002051,0.000283,35.002035
Repasse por população,Bloco educação resumido,MLP,1,0.188832,0.019495,0.010808,0.000261,57.005682
População beneficiária,Todos atributos independentes,Regressão linear,0,0.173859,0.031126,0.024428,0.001537,0.016145
Repasse por população,Bloco educação resumido,MLP,0,0.172327,0.037857,0.011977,0.001285,34.937207
Total de beneficiários,Blocos individuais,Regressão linear,0,0.171064,0.025411,0.008586,0.001207,0.014252
População beneficiária,Blocos individuais,MLP,1,0.168347,0.013438,0.008863,0.000231,44.717705
Repasse por beneficiário,Bloco educação resumido,XGBoost,0,0.165506,0.066213,0.002103,0.000152,1.778125
Total de beneficiários,Bloco saúde completo,Regressão linear,0,0.16346,0.022467,0.009512,0.001024,0.014418
Repasse por população,Todos atributos independentes,Regressão linear,0,0.160629,0.029704,0.012757,0.00124,0.015694
População beneficiária,Bloco renda completo,Regressão linear,0,0.15879,0.029983,0.009536,0.00042,0.009251
População beneficiária,Bloco educação resumido,MLP,0,0.157625,0.039922,0.012829,0.001301,50.704804
Valor total repassado,Blocos individuais,Regressão linear,0,0.156431,0.017116,0.008596,0.00229,0.011391
Repasse por população,Bloco educação resumido,Regressão linear,1,0.155469,0.014684,0.011252,0.000185,0.010126
Total de beneficiários,Bloco saúde completo,XGBoost,1,0.154773,0.08119,0.001109,0.000177,2.030761
Repasse por população,Bloco educação resumido,XGBoost,0,0.1542,0.058754,0.012187,0.000859,1.613263
Repasse por população,Bloco educação completo,Regressão linear,1,0.149735,0.014754,0.010193,0.000593,0.011675
Repasse por população,Bloco educação completo,Regressão linear,0,0.148292,0.02389,0.013028,0.000562,0.011761
População beneficiária,Bloco saúde completo,MLP,0,0.145338,0.055028,0.024554,0.002013,43.254591
Repasse por população,Bloco renda completo,Regressão linear,1,0.136146,0.032881,0.005968,0.000603,0.010841
População beneficiária,Bloco saúde resumido,Regressão linear,0,0.136064,0.028029,0.022875,0.001071,0.009649
Total de beneficiários,Bloco saúde resumido,MLP,0,0.134992,0.02193,0.009519,0.001814,39.644487
Repasse por beneficiário,Todos atributos independentes,MLP,1,0.130452,0.016875,0.005088,0.000419,45.133038
Total de beneficiários,Blocos individuais,XGBoost,0,0.129927,0.027849,0.00904,0.0014,1.695064
População beneficiária,Bloco saúde completo,XGBoost,0,0.12964,0.049747,0.024945,0.000753,2.175148
Valor total repassado,Bloco saúde completo,Regressão linear,0,0.126026,0.025367,0.010129,0.001443,0.013073
População beneficiária,Bloco educação completo,MLP,1,0.124136,0.01347,0.014897,0.000782,46.085539
População beneficiária,Idese,MLP,0,0.123777,0.011828,0.007761,0.000358,43.562861
População beneficiária,Bloco educação resumido,Regressão linear,0,0.12287,0.022736,0.013342,0.001061,0.011293
Total de beneficiários,Blocos individuais,MLP,1,0.119554,0.023394,0.002069,0.000168,42.94497
População beneficiária,Bloco educação resumido,XGBoost,0,0.118666,0.039392,0.013389,0.000983,1.862138
Repasse por população,Bloco educação resumido,Regressão linear,0,0.117602,0.024945,0.012776,0.001305,0.009501
Valor total repassado,Blocos individuais,Regressão linear,1,0.113579,0.018281,0.002279,0.000603,0.01139
Valor total repassado,Bloco saúde resumido,MLP,0,0.113385,0.012601,0.009892,0.001542,41.180476
População beneficiária,Blocos individuais,Regressão linear,1,0.111154,0.008176,0.009475,0.000303,0.011886
Total de beneficiários,Blocos individuais,Regressão linear,1,0.110593,0.010141,0.002092,0.000181,0.012348
Repasse por população,Bloco educação resumido,XGBoost,1,0.110462,0.033824,0.011845,0.000226,1.755651
Total de beneficiários,Bloco saúde resumido,Regressão linear,0,0.108938,0.011425,0.009798,0.001796,0.012035
Repasse por população,Bloco saúde completo,MLP,1,0.104408,0.03371,0.00992,0.00035,44.749322
População beneficiária,Bloco educação completo,MLP,0,0.103681,0.042399,0.027304,0.001628,41.365322
Valor total repassado,Bloco saúde completo,XGBoost,1,0.100927,0.168369,0.001066,0.000256,2.044456
População beneficiária,Bloco educação completo,Regressão linear,1,0.095661,0.011573,0.01538,0.000774,0.012221
Repasse por população,Bloco educação individual,MLP,0,0.09532,0.044486,0.011842,0.002179,25.050922
Repasse por população,Bloco saúde resumido,MLP,1,0.093298,0.025544,0.009648,0.000873,47.069485
